entry,at,order
"The player ""Kobe @ DRSv3IR7B7"" stand up with the stack of 110.23.",2026-09-10T05:03:55.275Z,178901663527501
"The player ""jamie @ pL_pd5IgIf"" stand up with the stack of 137.29.",2026-09-10T05:03:55.275Z,178901663527500
"""jamie @ pL_pd5IgIf"" shows a 7♥, 5♥.",2026-09-10T05:03:49.504Z,178901662950400
"-- ending hand #603 --",2026-09-10T05:03:48.673Z,178901662867302
"""Kobe @ DRSv3IR7B7"" collected 10.00 from pot with Pair, 7's (combination: 6♠, 9♠, Q♣, 7♠, 7♣)",2026-09-10T05:03:48.673Z,178901662867301
"""Kobe @ DRSv3IR7B7"" shows a 9♠, 7♠.",2026-09-10T05:03:48.673Z,178901662867300
"""jamie @ pL_pd5IgIf"" calls 0.50",2026-09-10T05:03:47.787Z,178901662778700
"""Kobe @ DRSv3IR7B7"" bets 0.50",2026-09-10T05:03:46.912Z,178901662691200
"River: 7♣, 2♥, 4♥, 6♠ [Q♣]",2026-09-10T05:03:46.096Z,178901662609600
"""jamie @ pL_pd5IgIf"" calls 0.50",2026-09-10T05:03:45.290Z,178901662529000
"""Kobe @ DRSv3IR7B7"" bets 0.50",2026-09-10T05:03:43.508Z,178901662350800
"Turn: 7♣, 2♥, 4♥ [6♠]",2026-09-10T05:03:41.865Z,178901662186500
"""Kobe @ DRSv3IR7B7"" calls 2.50",2026-09-10T05:03:41.048Z,178901662104800
"""jamie @ pL_pd5IgIf"" raises to 2.50",2026-09-10T05:03:39.442Z,178901661944200
"""Kobe @ DRSv3IR7B7"" bets 0.50",2026-09-10T05:03:36.800Z,178901661680000
"Flop:  [7♣, 2♥, 4♥]",2026-09-10T05:03:34.951Z,178901661495100
"""Kobe @ DRSv3IR7B7"" calls 1.50",2026-09-10T05:03:34.136Z,178901661413600
"""jamie @ pL_pd5IgIf"" raises to 1.50",2026-09-10T05:03:32.875Z,178901661287500
"""Kobe @ DRSv3IR7B7"" posts a big blind of 0.50",2026-09-10T05:03:30.348Z,178901661034806
"""jamie @ pL_pd5IgIf"" posts a small blind of 0.25",2026-09-10T05:03:30.348Z,178901661034805
"Player stacks: #3 ""jamie @ pL_pd5IgIf"" (142.29) | #5 ""Kobe @ DRSv3IR7B7"" (105.23)",2026-09-10T05:03:30.348Z,178901661034802
"-- starting hand #603 (id: 6nyrptnznwp7)  No Limit Texas Hold'em (dealer: ""jamie @ pL_pd5IgIf"") --",2026-09-10T05:03:30.348Z,178901661034801
"The player ""R Y A N @ GO72Iwd2XL"" stand up with the stack of 360.09.",2026-09-10T05:03:30.348Z,178901661034800
"-- ending hand #602 --",2026-09-10T05:03:24.444Z,178901660444402
"""jamie @ pL_pd5IgIf"" collected 0.50 from pot",2026-09-10T05:03:24.444Z,178901660444401
"Uncalled bet of 0.25 returned to ""jamie @ pL_pd5IgIf""",2026-09-10T05:03:24.444Z,178901660444400
"""R Y A N @ GO72Iwd2XL"" folds",2026-09-10T05:03:23.548Z,178901660354800
"""Kobe @ DRSv3IR7B7"" folds",2026-09-10T05:03:22.574Z,178901660257400
"""jamie @ pL_pd5IgIf"" posts a big blind of 0.50",2026-09-10T05:03:21.242Z,178901660124206
"""R Y A N @ GO72Iwd2XL"" posts a small blind of 0.25",2026-09-10T05:03:21.242Z,178901660124205
"Player stacks: #3 ""jamie @ pL_pd5IgIf"" (142.04) | #5 ""Kobe @ DRSv3IR7B7"" (105.23) | #7 ""R Y A N @ GO72Iwd2XL"" (360.34)",2026-09-10T05:03:21.242Z,178901660124201
"-- starting hand #602 (id: x8ln78faydyy)  No Limit Texas Hold'em (dealer: ""Kobe @ DRSv3IR7B7"") --",2026-09-10T05:03:21.242Z,178901660124200
"-- ending hand #601 --",2026-09-10T05:03:15.258Z,178901659525802
"""R Y A N @ GO72Iwd2XL"" collected 9.50 from pot",2026-09-10T05:03:15.258Z,178901659525801
"Uncalled bet of 7.12 returned to ""R Y A N @ GO72Iwd2XL""",2026-09-10T05:03:15.258Z,178901659525800
"""jamie @ pL_pd5IgIf"" folds",2026-09-10T05:03:14.437Z,178901659443700
"""R Y A N @ GO72Iwd2XL"" bets 7.12",2026-09-10T05:03:13.401Z,178901659340100
"Flop:  [6♥, 10♥, 7♥]",2026-09-10T05:03:10.319Z,178901659031900
"""Kobe @ DRSv3IR7B7"" folds",2026-09-10T05:03:09.500Z,178901658950000
"""jamie @ pL_pd5IgIf"" calls 4.00",2026-09-10T05:03:08.623Z,178901658862300
"""R Y A N @ GO72Iwd2XL"" raises to 4.00",2026-09-10T05:03:06.666Z,178901658666600
"""Kobe @ DRSv3IR7B7"" calls 1.50",2026-09-10T05:03:03.809Z,178901658380900
"""jamie @ pL_pd5IgIf"" raises to 1.50",2026-09-10T05:03:00.619Z,178901658061900
"""R Y A N @ GO72Iwd2XL"" posts a big blind of 0.50",2026-09-10T05:02:57.451Z,178901657745106
"""Kobe @ DRSv3IR7B7"" posts a small blind of 0.25",2026-09-10T05:02:57.451Z,178901657745105
"Player stacks: #3 ""jamie @ pL_pd5IgIf"" (146.04) | #5 ""Kobe @ DRSv3IR7B7"" (106.73) | #7 ""R Y A N @ GO72Iwd2XL"" (354.84)",2026-09-10T05:02:57.451Z,178901657745101
"-- starting hand #601 (id: 9qixbpjtprl6)  No Limit Texas Hold'em (dealer: ""jamie @ pL_pd5IgIf"") --",2026-09-10T05:02:57.451Z,178901657745100
"-- ending hand #600 --",2026-09-10T05:02:54.476Z,178901657447602
"""R Y A N @ GO72Iwd2XL"" collected 62.49 from pot",2026-09-10T05:02:54.476Z,178901657447601
"Uncalled bet of 46.86 returned to ""R Y A N @ GO72Iwd2XL""",2026-09-10T05:02:54.476Z,178901657447600
"""Kobe @ DRSv3IR7B7"" folds",2026-09-10T05:02:53.651Z,178901657365100
"""R Y A N @ GO72Iwd2XL"" bets 46.86",2026-09-10T05:02:22.767Z,178901654276700
"""Kobe @ DRSv3IR7B7"" checks",2026-09-10T05:02:15.754Z,178901653575400
"River: J♥, 3♣, 4♠, 6♠ [2♥]",2026-09-10T05:02:02.634Z,178901652263400
"""R Y A N @ GO72Iwd2XL"" calls 18.12",2026-09-10T05:02:01.808Z,178901652180800
"""Kobe @ DRSv3IR7B7"" bets 18.12",2026-09-10T05:01:54.941Z,178901651494100
"Turn: J♥, 3♣, 4♠ [6♠]",2026-09-10T05:01:45.754Z,178901650575400
"""R Y A N @ GO72Iwd2XL"" calls 5.50",2026-09-10T05:01:44.930Z,178901650493000
"""Kobe @ DRSv3IR7B7"" bets 5.50",2026-09-10T05:01:41.602Z,178901650160200
"Flop:  [J♥, 3♣, 4♠]",2026-09-10T05:01:36.505Z,178901649650500
"""R Y A N @ GO72Iwd2XL"" calls 7.50",2026-09-10T05:01:35.668Z,178901649566800
"""Kobe @ DRSv3IR7B7"" raises to 7.50",2026-09-10T05:01:30.537Z,178901649053700
"""jamie @ pL_pd5IgIf"" folds",2026-09-10T05:01:25.628Z,178901648562800
"""R Y A N @ GO72Iwd2XL"" raises to 2.50",2026-09-10T05:01:24.145Z,178901648414500
"""Kobe @ DRSv3IR7B7"" posts a big blind of 0.50",2026-09-10T05:01:21.444Z,178901648144407
"""jamie @ pL_pd5IgIf"" posts a small blind of 0.25",2026-09-10T05:01:21.444Z,178901648144406
"Player stacks: #3 ""jamie @ pL_pd5IgIf"" (146.29) | #5 ""Kobe @ DRSv3IR7B7"" (137.85) | #7 ""R Y A N @ GO72Iwd2XL"" (323.47)",2026-09-10T05:01:21.444Z,178901648144402
"-- starting hand #600 (id: oz6tdlbxih4z)  No Limit Texas Hold'em (dead button) --",2026-09-10T05:01:21.444Z,178901648144401
"The player ""Heech @ _qqRpJaEYj"" stand up with the stack of 158.75.",2026-09-10T05:01:21.444Z,178901648144400
"-- ending hand #599 --",2026-09-10T05:01:15.497Z,178901647549702
"""R Y A N @ GO72Iwd2XL"" collected 3.75 from pot",2026-09-10T05:01:15.497Z,178901647549701
"Uncalled bet of 2.50 returned to ""R Y A N @ GO72Iwd2XL""",2026-09-10T05:01:15.497Z,178901647549700
"""Kobe @ DRSv3IR7B7"" folds",2026-09-10T05:01:14.674Z,178901647467400
"""jamie @ pL_pd5IgIf"" folds",2026-09-10T05:01:13.790Z,178901647379000
"""Heech @ _qqRpJaEYj"" folds",2026-09-10T05:01:12.939Z,178901647293900
"""R Y A N @ GO72Iwd2XL"" raises to 4.00",2026-09-10T05:00:52.101Z,178901645210100
"""Kobe @ DRSv3IR7B7"" raises to 1.50",2026-09-10T05:00:48.844Z,178901644884400
"""jamie @ pL_pd5IgIf"" posts a big blind of 0.50",2026-09-10T05:00:44.469Z,178901644446907
"""Heech @ _qqRpJaEYj"" posts a small blind of 0.25",2026-09-10T05:00:44.469Z,178901644446906
"Player stacks: #3 ""jamie @ pL_pd5IgIf"" (146.79) | #5 ""Kobe @ DRSv3IR7B7"" (139.35) | #7 ""R Y A N @ GO72Iwd2XL"" (321.22) | #10 ""Heech @ _qqRpJaEYj"" (159.00)",2026-09-10T05:00:44.469Z,178901644446901
"-- starting hand #599 (id: dsx0ywn5lyty)  No Limit Texas Hold'em (dealer: ""R Y A N @ GO72Iwd2XL"") --",2026-09-10T05:00:44.469Z,178901644446900
"-- ending hand #598 --",2026-09-10T05:00:38.500Z,178901643850002
"""Heech @ _qqRpJaEYj"" collected 0.50 from pot",2026-09-10T05:00:38.500Z,178901643850001
"Uncalled bet of 0.25 returned to ""Heech @ _qqRpJaEYj""",2026-09-10T05:00:38.500Z,178901643850000
"""R Y A N @ GO72Iwd2XL"" folds",2026-09-10T05:00:37.660Z,178901643766000
"""Kobe @ DRSv3IR7B7"" folds",2026-09-10T05:00:36.762Z,178901643676200
"""jamie @ pL_pd5IgIf"" folds",2026-09-10T05:00:35.123Z,178901643512300
"""Heech @ _qqRpJaEYj"" posts a big blind of 0.50",2026-09-10T05:00:34.101Z,178901643410107
"""R Y A N @ GO72Iwd2XL"" posts a small blind of 0.25",2026-09-10T05:00:34.101Z,178901643410106
"Player stacks: #3 ""jamie @ pL_pd5IgIf"" (146.79) | #5 ""Kobe @ DRSv3IR7B7"" (139.35) | #7 ""R Y A N @ GO72Iwd2XL"" (321.47) | #10 ""Heech @ _qqRpJaEYj"" (158.75)",2026-09-10T05:00:34.101Z,178901643410101
"-- starting hand #598 (id: 4li9d2fqao21)  No Limit Texas Hold'em (dealer: ""Kobe @ DRSv3IR7B7"") --",2026-09-10T05:00:34.101Z,178901643410100
"-- ending hand #597 --",2026-09-10T05:00:28.150Z,178901642815002
"""jamie @ pL_pd5IgIf"" collected 7.50 from pot",2026-09-10T05:00:28.150Z,178901642815001
"Uncalled bet of 4.25 returned to ""jamie @ pL_pd5IgIf""",2026-09-10T05:00:28.150Z,178901642815000
"""R Y A N @ GO72Iwd2XL"" folds",2026-09-10T05:00:27.335Z,178901642733500
"""jamie @ pL_pd5IgIf"" bets 4.25",2026-09-10T05:00:23.160Z,178901642316000
"""R Y A N @ GO72Iwd2XL"" checks",2026-09-10T05:00:14.620Z,178901641462000
"Turn: J♣, Q♦, 7♣ [6♠]",2026-09-10T05:00:12.885Z,178901641288500
"""R Y A N @ GO72Iwd2XL"" calls 1.50",2026-09-10T05:00:12.030Z,178901641203000
"""Kobe @ DRSv3IR7B7"" folds",2026-09-10T05:00:10.863Z,178901641086300
"""jamie @ pL_pd5IgIf"" bets 1.50",2026-09-10T05:00:05.530Z,178901640553000
"""R Y A N @ GO72Iwd2XL"" checks",2026-09-10T05:00:02.755Z,178901640275500
"""Kobe @ DRSv3IR7B7"" checks",2026-09-10T05:00:00.934Z,178901640093400
"Flop:  [J♣, Q♦, 7♣]",2026-09-10T04:59:58.599Z,178901639859900
"""R Y A N @ GO72Iwd2XL"" calls 1.50",2026-09-10T04:59:57.736Z,178901639773600
"""Kobe @ DRSv3IR7B7"" calls 1.50",2026-09-10T04:59:54.714Z,178901639471400
"""jamie @ pL_pd5IgIf"" raises to 1.50",2026-09-10T04:59:52.970Z,178901639297000
"""Heech @ _qqRpJaEYj"" folds",2026-09-10T04:59:50.998Z,178901639099800
"""R Y A N @ GO72Iwd2XL"" posts a big blind of 0.50",2026-09-10T04:59:30.982Z,178901637098207
"""Kobe @ DRSv3IR7B7"" posts a small blind of 0.25",2026-09-10T04:59:30.982Z,178901637098206
"Player stacks: #3 ""jamie @ pL_pd5IgIf"" (142.29) | #5 ""Kobe @ DRSv3IR7B7"" (140.85) | #7 ""R Y A N @ GO72Iwd2XL"" (324.47) | #10 ""Heech @ _qqRpJaEYj"" (158.75)",2026-09-10T04:59:30.982Z,178901637098201
"-- starting hand #597 (id: xm2lzhz3l897)  No Limit Texas Hold'em (dealer: ""jamie @ pL_pd5IgIf"") --",2026-09-10T04:59:30.982Z,178901637098200
"-- ending hand #596 --",2026-09-10T04:59:25.051Z,178901636505102
"""R Y A N @ GO72Iwd2XL"" collected 1.25 from pot",2026-09-10T04:59:25.051Z,178901636505101
"Uncalled bet of 2.00 returned to ""R Y A N @ GO72Iwd2XL""",2026-09-10T04:59:25.051Z,178901636505100
"""Kobe @ DRSv3IR7B7"" folds",2026-09-10T04:59:24.195Z,178901636419500
"""jamie @ pL_pd5IgIf"" folds",2026-09-10T04:59:21.578Z,178901636157800
"""Heech @ _qqRpJaEYj"" folds",2026-09-10T04:59:20.490Z,178901636049000
"""R Y A N @ GO72Iwd2XL"" raises to 2.50",2026-09-10T04:58:59.646Z,178901633964600
"""Kobe @ DRSv3IR7B7"" posts a big blind of 0.50",2026-09-10T04:58:56.392Z,178901633639207
"""jamie @ pL_pd5IgIf"" posts a small blind of 0.25",2026-09-10T04:58:56.392Z,178901633639206
"Player stacks: #3 ""jamie @ pL_pd5IgIf"" (142.54) | #5 ""Kobe @ DRSv3IR7B7"" (141.35) | #7 ""R Y A N @ GO72Iwd2XL"" (323.72) | #10 ""Heech @ _qqRpJaEYj"" (158.75)",2026-09-10T04:58:56.392Z,178901633639201
"-- starting hand #596 (id: 6s2vxiiyytma)  No Limit Texas Hold'em (dealer: ""Heech @ _qqRpJaEYj"") --",2026-09-10T04:58:56.392Z,178901633639200
"""R Y A N @ GO72Iwd2XL"" shows a 6♥.",2026-09-10T04:58:51.171Z,178901633117100
"-- ending hand #595 --",2026-09-10T04:58:49.852Z,178901632985202
"""jamie @ pL_pd5IgIf"" collected 18.49 from pot with Two Pair, 6's & 4's (combination: 9♠, 4♣, 4♥, 6♦, 6♠)",2026-09-10T04:58:49.852Z,178901632985201
"""jamie @ pL_pd5IgIf"" shows a 4♣, 5♣.",2026-09-10T04:58:49.852Z,178901632985200
"""Kobe @ DRSv3IR7B7"" checks",2026-09-10T04:58:49.019Z,178901632901900
"""jamie @ pL_pd5IgIf"" checks",2026-09-10T04:58:47.215Z,178901632721500
"River: 6♦, 7♣, 9♠, 6♠ [4♥]",2026-09-10T04:58:45.251Z,178901632525100
"""Kobe @ DRSv3IR7B7"" calls 4.62",2026-09-10T04:58:44.414Z,178901632441400
"""jamie @ pL_pd5IgIf"" bets 4.62",2026-09-10T04:58:41.215Z,178901632121500
"Turn: 6♦, 7♣, 9♠ [6♠]",2026-09-10T04:58:38.384Z,178901631838400
"""Kobe @ DRSv3IR7B7"" checks",2026-09-10T04:58:37.482Z,178901631748200
"""jamie @ pL_pd5IgIf"" checks",2026-09-10T04:58:35.797Z,178901631579700
"Flop:  [6♦, 7♣, 9♠]",2026-09-10T04:58:31.970Z,178901631197000
"""Kobe @ DRSv3IR7B7"" calls 4.50",2026-09-10T04:58:31.144Z,178901631114400
"""jamie @ pL_pd5IgIf"" raises to 4.50",2026-09-10T04:58:26.908Z,178901630690800
"""Heech @ _qqRpJaEYj"" folds",2026-09-10T04:58:23.036Z,178901630303600
"""R Y A N @ GO72Iwd2XL"" folds",2026-09-10T04:58:02.139Z,178901628213900
"""Kobe @ DRSv3IR7B7"" raises to 1.50",2026-09-10T04:58:01.156Z,178901628115600
"""jamie @ pL_pd5IgIf"" posts a big blind of 0.50",2026-09-10T04:57:58.378Z,178901627837807
"""Heech @ _qqRpJaEYj"" posts a small blind of 0.25",2026-09-10T04:57:58.378Z,178901627837806
"Player stacks: #3 ""jamie @ pL_pd5IgIf"" (133.17) | #5 ""Kobe @ DRSv3IR7B7"" (150.47) | #7 ""R Y A N @ GO72Iwd2XL"" (323.72) | #10 ""Heech @ _qqRpJaEYj"" (159.00)",2026-09-10T04:57:58.378Z,178901627837801
"-- starting hand #595 (id: por42oc5f1wr)  No Limit Texas Hold'em (dealer: ""R Y A N @ GO72Iwd2XL"") --",2026-09-10T04:57:58.378Z,178901627837800
"-- ending hand #594 --",2026-09-10T04:57:52.467Z,178901627246702
"""jamie @ pL_pd5IgIf"" collected 1.25 from pot",2026-09-10T04:57:52.467Z,178901627246701
"Uncalled bet of 1.00 returned to ""jamie @ pL_pd5IgIf""",2026-09-10T04:57:52.467Z,178901627246700
"""Heech @ _qqRpJaEYj"" folds",2026-09-10T04:57:51.603Z,178901627160300
"""R Y A N @ GO72Iwd2XL"" folds",2026-09-10T04:57:20.759Z,178901624075900
"""Kobe @ DRSv3IR7B7"" folds",2026-09-10T04:57:18.876Z,178901623887600
"""jamie @ pL_pd5IgIf"" raises to 1.50",2026-09-10T04:57:13.654Z,178901623365400
"""Heech @ _qqRpJaEYj"" posts a big blind of 0.50",2026-09-10T04:57:12.092Z,178901623209207
"""R Y A N @ GO72Iwd2XL"" posts a small blind of 0.25",2026-09-10T04:57:12.092Z,178901623209206
"Player stacks: #3 ""jamie @ pL_pd5IgIf"" (132.42) | #5 ""Kobe @ DRSv3IR7B7"" (150.47) | #7 ""R Y A N @ GO72Iwd2XL"" (323.97) | #10 ""Heech @ _qqRpJaEYj"" (159.50)",2026-09-10T04:57:12.092Z,178901623209201
"-- starting hand #594 (id: s0i2rwbn5wzn)  No Limit Texas Hold'em (dealer: ""Kobe @ DRSv3IR7B7"") --",2026-09-10T04:57:12.092Z,178901623209200
"-- ending hand #593 --",2026-09-10T04:57:06.180Z,178901622618002
"""Kobe @ DRSv3IR7B7"" collected 1.00 from pot",2026-09-10T04:57:06.180Z,178901622618001
"Uncalled bet of 1.50 returned to ""Kobe @ DRSv3IR7B7""",2026-09-10T04:57:06.180Z,178901622618000
"""R Y A N @ GO72Iwd2XL"" folds",2026-09-10T04:57:05.353Z,178901622535300
"""Kobe @ DRSv3IR7B7"" raises to 2.00",2026-09-10T04:57:03.993Z,178901622399300
"""jamie @ pL_pd5IgIf"" folds",2026-09-10T04:57:01.047Z,178901622104700
"""Heech @ _qqRpJaEYj"" folds",2026-09-10T04:56:57.822Z,178901621782200
"""R Y A N @ GO72Iwd2XL"" posts a big blind of 0.50",2026-09-10T04:56:53.186Z,178901621318607
"""Kobe @ DRSv3IR7B7"" posts a small blind of 0.25",2026-09-10T04:56:53.186Z,178901621318606
"Player stacks: #3 ""jamie @ pL_pd5IgIf"" (132.42) | #5 ""Kobe @ DRSv3IR7B7"" (149.97) | #7 ""R Y A N @ GO72Iwd2XL"" (324.47) | #10 ""Heech @ _qqRpJaEYj"" (159.50)",2026-09-10T04:56:53.186Z,178901621318601
"-- starting hand #593 (id: l9c5etlqjnxj)  No Limit Texas Hold'em (dealer: ""jamie @ pL_pd5IgIf"") --",2026-09-10T04:56:53.186Z,178901621318600
"""Kobe @ DRSv3IR7B7"" shows a A♥.",2026-09-10T04:56:51.164Z,178901621116400
"-- ending hand #592 --",2026-09-10T04:56:49.566Z,178901620956602
"""Kobe @ DRSv3IR7B7"" collected 68.21 from pot",2026-09-10T04:56:49.566Z,178901620956601
"Uncalled bet of 51.15 returned to ""Kobe @ DRSv3IR7B7""",2026-09-10T04:56:49.566Z,178901620956600
"""R Y A N @ GO72Iwd2XL"" folds",2026-09-10T04:56:48.721Z,178901620872100
"""Kobe @ DRSv3IR7B7"" bets 51.15",2026-09-10T04:56:32.234Z,178901619223400
"River: Q♠, 8♠, K♥, 8♣ [4♥]",2026-09-10T04:56:24.267Z,178901618426700
"""R Y A N @ GO72Iwd2XL"" calls 17.05",2026-09-10T04:56:23.456Z,178901618345600
"""Kobe @ DRSv3IR7B7"" bets 17.05",2026-09-10T04:56:19.571Z,178901617957100
"Turn: Q♠, 8♠, K♥ [8♣]",2026-09-10T04:56:10.997Z,178901617099700
"""R Y A N @ GO72Iwd2XL"" calls 9.93",2026-09-10T04:56:10.188Z,178901617018800
"""Kobe @ DRSv3IR7B7"" bets 9.93",2026-09-10T04:56:07.030Z,178901616703000
"Flop:  [Q♠, 8♠, K♥]",2026-09-10T04:55:55.967Z,178901615596700
"""R Y A N @ GO72Iwd2XL"" calls 7.00",2026-09-10T04:55:55.141Z,178901615514100
"""Kobe @ DRSv3IR7B7"" raises to 7.00",2026-09-10T04:55:52.519Z,178901615251900
"""jamie @ pL_pd5IgIf"" folds",2026-09-10T04:55:46.430Z,178901614643000
"""Heech @ _qqRpJaEYj"" folds",2026-09-10T04:55:44.945Z,178901614494500
"""R Y A N @ GO72Iwd2XL"" raises to 2.50",2026-09-10T04:55:44.054Z,178901614405400
"""Kobe @ DRSv3IR7B7"" posts a big blind of 0.50",2026-09-10T04:55:41.062Z,178901614106207
"""jamie @ pL_pd5IgIf"" posts a small blind of 0.25",2026-09-10T04:55:41.062Z,178901614106206
"Player stacks: #3 ""jamie @ pL_pd5IgIf"" (132.67) | #5 ""Kobe @ DRSv3IR7B7"" (115.74) | #7 ""R Y A N @ GO72Iwd2XL"" (358.45) | #10 ""Heech @ _qqRpJaEYj"" (159.50)",2026-09-10T04:55:41.062Z,178901614106201
"-- starting hand #592 (id: itabpamyrx55)  No Limit Texas Hold'em (dealer: ""Heech @ _qqRpJaEYj"") --",2026-09-10T04:55:41.062Z,178901614106200
"-- ending hand #591 --",2026-09-10T04:55:35.134Z,178901613513402
"""Heech @ _qqRpJaEYj"" collected 5.50 from pot",2026-09-10T04:55:35.134Z,178901613513401
"Uncalled bet of 4.12 returned to ""Heech @ _qqRpJaEYj""",2026-09-10T04:55:35.134Z,178901613513400
"""R Y A N @ GO72Iwd2XL"" folds",2026-09-10T04:55:34.267Z,178901613426700
"""Heech @ _qqRpJaEYj"" bets 4.12",2026-09-10T04:55:32.716Z,178901613271600
"Flop:  [8♥, 9♦, K♣]",2026-09-10T04:55:28.822Z,178901612882200
"""R Y A N @ GO72Iwd2XL"" calls 2.50",2026-09-10T04:55:28.005Z,178901612800500
"""jamie @ pL_pd5IgIf"" folds",2026-09-10T04:55:27.053Z,178901612705300
"""Heech @ _qqRpJaEYj"" raises to 2.50",2026-09-10T04:55:26.198Z,178901612619800
"""R Y A N @ GO72Iwd2XL"" calls 0.50",2026-09-10T04:55:22.936Z,178901612293600
"""Kobe @ DRSv3IR7B7"" folds",2026-09-10T04:55:21.732Z,178901612173200
"""jamie @ pL_pd5IgIf"" posts a big blind of 0.50",2026-09-10T04:55:20.621Z,178901612062107
"""Heech @ _qqRpJaEYj"" posts a small blind of 0.25",2026-09-10T04:55:20.621Z,178901612062106
"Player stacks: #3 ""jamie @ pL_pd5IgIf"" (133.17) | #5 ""Kobe @ DRSv3IR7B7"" (115.74) | #7 ""R Y A N @ GO72Iwd2XL"" (360.95) | #10 ""Heech @ _qqRpJaEYj"" (156.50)",2026-09-10T04:55:20.621Z,178901612062101
"-- starting hand #591 (id: zrortuyyw0jp)  No Limit Texas Hold'em (dealer: ""R Y A N @ GO72Iwd2XL"") --",2026-09-10T04:55:20.621Z,178901612062100
"-- ending hand #590 --",2026-09-10T04:55:14.672Z,178901611467202
"""R Y A N @ GO72Iwd2XL"" collected 1.00 from pot",2026-09-10T04:55:14.672Z,178901611467201
"Uncalled bet of 1.50 returned to ""R Y A N @ GO72Iwd2XL""",2026-09-10T04:55:14.672Z,178901611467200
"""Heech @ _qqRpJaEYj"" folds",2026-09-10T04:55:13.865Z,178901611386500
"""R Y A N @ GO72Iwd2XL"" raises to 2.00",2026-09-10T04:55:10.731Z,178901611073100
"""Kobe @ DRSv3IR7B7"" folds",2026-09-10T04:55:06.813Z,178901610681300
"""jamie @ pL_pd5IgIf"" folds",2026-09-10T04:55:05.188Z,178901610518800
"""Heech @ _qqRpJaEYj"" posts a big blind of 0.50",2026-09-10T04:55:04.405Z,178901610440507
"""R Y A N @ GO72Iwd2XL"" posts a small blind of 0.25",2026-09-10T04:55:04.405Z,178901610440506
"Player stacks: #3 ""jamie @ pL_pd5IgIf"" (133.17) | #5 ""Kobe @ DRSv3IR7B7"" (115.74) | #7 ""R Y A N @ GO72Iwd2XL"" (360.45) | #10 ""Heech @ _qqRpJaEYj"" (157.00)",2026-09-10T04:55:04.405Z,178901610440501
"-- starting hand #590 (id: hxp2xxccwdda)  No Limit Texas Hold'em (dealer: ""Kobe @ DRSv3IR7B7"") --",2026-09-10T04:55:04.405Z,178901610440500
"-- ending hand #589 --",2026-09-10T04:54:58.477Z,178901609847702
"""R Y A N @ GO72Iwd2XL"" collected 3.25 from pot",2026-09-10T04:54:58.477Z,178901609847701
"Uncalled bet of 2.50 returned to ""R Y A N @ GO72Iwd2XL""",2026-09-10T04:54:58.477Z,178901609847700
"""jamie @ pL_pd5IgIf"" folds",2026-09-10T04:54:57.620Z,178901609762000
"""R Y A N @ GO72Iwd2XL"" raises to 4.00",2026-09-10T04:54:55.741Z,178901609574100
"""Kobe @ DRSv3IR7B7"" folds",2026-09-10T04:54:52.472Z,178901609247200
"""jamie @ pL_pd5IgIf"" raises to 1.50",2026-09-10T04:54:51.422Z,178901609142200
"""Heech @ _qqRpJaEYj"" folds",2026-09-10T04:54:48.156Z,178901608815600
"""R Y A N @ GO72Iwd2XL"" posts a big blind of 0.50",2026-09-10T04:54:45.965Z,178901608596507
"""Kobe @ DRSv3IR7B7"" posts a small blind of 0.25",2026-09-10T04:54:45.965Z,178901608596506
"Player stacks: #3 ""jamie @ pL_pd5IgIf"" (134.67) | #5 ""Kobe @ DRSv3IR7B7"" (115.99) | #7 ""R Y A N @ GO72Iwd2XL"" (358.70) | #10 ""Heech @ _qqRpJaEYj"" (157.00)",2026-09-10T04:54:45.965Z,178901608596501
"-- starting hand #589 (id: y3b82iojnjme)  No Limit Texas Hold'em (dealer: ""jamie @ pL_pd5IgIf"") --",2026-09-10T04:54:45.965Z,178901608596500
"-- ending hand #588 --",2026-09-10T04:54:39.919Z,178901607991903
"""Kobe @ DRSv3IR7B7"" collected 15.00 from pot with Pair, J's (combination: 8♦, 9♥, Q♠, J♠, J♦)",2026-09-10T04:54:39.919Z,178901607991902
"""Kobe @ DRSv3IR7B7"" shows a 9♥, J♠.",2026-09-10T04:54:39.919Z,178901607991901
"""jamie @ pL_pd5IgIf"" shows a 6♦, 7♦.",2026-09-10T04:54:39.919Z,178901607991900
"""Kobe @ DRSv3IR7B7"" checks",2026-09-10T04:54:39.091Z,178901607909100
"""jamie @ pL_pd5IgIf"" checks",2026-09-10T04:54:38.119Z,178901607811900
"River: 6♣, J♦, 8♦, 5♠ [Q♠]",2026-09-10T04:54:37.161Z,178901607716100
"""jamie @ pL_pd5IgIf"" calls 4.50",2026-09-10T04:54:36.319Z,178901607631900
"""Kobe @ DRSv3IR7B7"" bets 4.50",2026-09-10T04:54:34.679Z,178901607467900
"""jamie @ pL_pd5IgIf"" checks",2026-09-10T04:54:31.003Z,178901607100300
"Turn: 6♣, J♦, 8♦ [5♠]",2026-09-10T04:54:27.659Z,178901606765900
"""Kobe @ DRSv3IR7B7"" calls 1.50",2026-09-10T04:54:26.795Z,178901606679500
"""jamie @ pL_pd5IgIf"" bets 1.50",2026-09-10T04:54:24.102Z,178901606410200
"Flop:  [6♣, J♦, 8♦]",2026-09-10T04:54:19.509Z,178901605950900
"""Kobe @ DRSv3IR7B7"" calls 1.50",2026-09-10T04:54:18.661Z,178901605866100
